,params,loss
0,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 2, 'f5': 4}",0.001234431929743214
1,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 2, 'f5': 5}",0.0013308604085403982
2,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 3, 'f5': 2}",0.0014907943556383035
3,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 3, 'f5': 3}",0.0012981895554143694
4,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 3, 'f5': 4}",0.001259390904518519
5,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 3, 'f5': 5}",0.0012911600913025046
6,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 4, 'f5': 2}",0.0012883970233029105
7,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 4, 'f5': 3}",0.001258374591601292
8,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 4, 'f5': 4}",0.0012938777296724224
9,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 4, 'f5': 5}",0.0012812356236515494
10,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 5, 'f5': 2}",0.0013133591652151264
11,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 5, 'f5': 3}",0.0012969972157674493
12,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 5, 'f5': 4}",0.0012928509267869182
13,"{'f1': 5, 'f2': 4, 'f3': 3, 'f4': 5, 'f5': 5}",0.001284451304564342
14,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 2, 'f5': 2}",0.0014540915485991407
15,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 2, 'f5': 3}",0.0012939811797435523
16,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 2, 'f5': 4}",0.0012453631427334758
17,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 2, 'f5': 5}",0.0013611152820476279
18,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 3, 'f5': 2}",0.0013100852506868468
19,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 3, 'f5': 3}",0.0012811088804728203
20,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 3, 'f5': 4}",0.0013077158142534118
21,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 3, 'f5': 5}",0.0012937978876026326
22,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 4, 'f5': 2}",0.0012504929547685897
23,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 4, 'f5': 3}",0.0012966639056807862
24,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 4, 'f5': 4}",0.001280866891405014
25,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 4, 'f5': 5}",0.0013172759298128345
26,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 5, 'f5': 2}",0.0013349861855514616
27,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 5, 'f5': 3}",0.001391100348898151
28,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 5, 'f5': 4}",0.0014439534033953486
29,"{'f1': 5, 'f2': 4, 'f3': 4, 'f4': 5, 'f5': 5}",0.001289665553268015
30,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 2, 'f5': 2}",0.0013247835572482978
31,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 2, 'f5': 3}",0.0012672706431006476
32,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 2, 'f5': 4}",0.001301103255769313
33,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 2, 'f5': 5}",0.0012834511254367193
34,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 3, 'f5': 2}",0.0013794723313636764
35,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 3, 'f5': 3}",0.0013099078715506133
36,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 3, 'f5': 4}",0.0013073281580499288
37,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 3, 'f5': 5}",0.001283636959159511
38,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 4, 'f5': 2}",0.0012821067057979475
39,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 4, 'f5': 3}",0.0012969229414760985
40,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 4, 'f5': 4}",0.0012878993182268044
41,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 4, 'f5': 5}",0.0013098195705207412
42,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 5, 'f5': 2}",0.0012869201874602272
43,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 5, 'f5': 3}",0.0012782287624348856
44,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 5, 'f5': 4}",0.0013169666632458705
45,"{'f1': 5, 'f2': 4, 'f3': 5, 'f4': 5, 'f5': 5}",0.0012692689373346446
46,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 2, 'f5': 2}",0.0013002735851125244
47,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 2, 'f5': 3}",0.0014501920992068904
48,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 2, 'f5': 4}",0.0013015201702852085
49,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 2, 'f5': 5}",0.0012734750757362235
50,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 3, 'f5': 2}",0.0014868153349115178
51,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 3, 'f5': 3}",0.0013222587498166092
52,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 3, 'f5': 4}",0.0012526191195629834
53,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 3, 'f5': 5}",0.001265478429325831
54,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 4, 'f5': 2}",0.00128490302245698
55,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 4, 'f5': 3}",0.0012493201317616835
56,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 4, 'f5': 4}",0.001268456653975922
57,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 4, 'f5': 5}",0.001297211897255707
58,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 5, 'f5': 2}",0.0012838056452815782
59,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 5, 'f5': 3}",0.0013076224825420855
60,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 5, 'f5': 4}",0.0012856191519115502
61,"{'f1': 5, 'f2': 5, 'f3': 2, 'f4': 5, 'f5': 5}",0.0014449619376471247
62,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 2, 'f5': 2}",0.0014126924764121204
63,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 2, 'f5': 3}",0.0012281516864395686
64,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 2, 'f5': 4}",0.0012756089805397576
65,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 2, 'f5': 5}",0.001240842941701889
66,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 3, 'f5': 2}",0.0013409042234585379
67,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 3, 'f5': 3}",0.0012943951597658072
68,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 3, 'f5': 4}",0.0012830689513752506
69,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 3, 'f5': 5}",0.0012553732469505101
70,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 4, 'f5': 2}",0.001246302621436895
71,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 4, 'f5': 3}",0.0012901596230990421
72,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 4, 'f5': 4}",0.0012965011549953519
73,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 4, 'f5': 5}",0.0014680072176649563
74,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 5, 'f5': 2}",0.001262227868429082
75,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 5, 'f5': 3}",0.0012940642854499475
76,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 5, 'f5': 4}",0.0014631171035353063
77,"{'f1': 5, 'f2': 5, 'f3': 3, 'f4': 5, 'f5': 5}",0.001319642711658176
78,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 2, 'f5': 2}",0.0013078466575405154
79,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 2, 'f5': 3}",0.0012648170980129668
80,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 2, 'f5': 4}",0.0012601143123638068
81,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 2, 'f5': 5}",0.0012847359299906903
82,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 3, 'f5': 2}",0.0012799586225933602
83,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 3, 'f5': 3}",0.001247369718588204
84,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 3, 'f5': 4}",0.0013022047935770207
85,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 3, 'f5': 5}",0.0014319624285003094
86,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 4, 'f5': 2}",0.001255054470931173
87,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 4, 'f5': 3}",0.001286468005127538
88,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 4, 'f5': 4}",0.0014276696065673965
89,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 4, 'f5': 5}",0.0015038020125195774
90,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 5, 'f5': 2}",0.001276932138079125
91,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 5, 'f5': 3}",0.0014149514589281611
92,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 5, 'f5': 4}",0.0012961253985868267
93,"{'f1': 5, 'f2': 5, 'f3': 4, 'f4': 5, 'f5': 5}",0.0012714779394985632
94,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 2, 'f5': 2}",0.0014314700290733546
95,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 2, 'f5': 3}",0.0012686073879098975
96,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 2, 'f5': 4}",0.0013319536427186726
97,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 2, 'f5': 5}",0.0013349760954079431
98,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 3, 'f5': 2}",0.0013115658112202325
99,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 3, 'f5': 3}",0.001270111085091582
100,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 3, 'f5': 4}",0.001451505947629508
101,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 3, 'f5': 5}",0.0014855002762924363
102,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 4, 'f5': 2}",0.0012854215151756583
103,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 4, 'f5': 3}",0.0014351595511392084
104,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 4, 'f5': 4}",0.0013371327209517352
105,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 4, 'f5': 5}",0.0012695736259504475
106,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 5, 'f5': 2}",0.0015589363557758468
107,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 5, 'f5': 3}",0.001265880828820393
108,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 5, 'f5': 4}",0.0012771783584610312
109,"{'f1': 5, 'f2': 5, 'f3': 5, 'f4': 5, 'f5': 5}",0.0012288365611384802
